state,variable,correlation,p_value,significant,n
california,median_age,-0.020613662287376027,0.8779347703997558,False,58
california,median_household_income,-0.13034837719116085,0.32942991703422814,False,58
california,median_home_value,-0.17026042297857089,0.20132305696596706,False,58
california,pct_white_alone,0.25227280237563593,0.05607466364581437,False,58
california,pct_black_alone,-0.2301473229866654,0.08220916193267841,False,58
california,pct_asian_alone,-0.1493982154912875,0.26300769672624136,False,58
california,pct_aian_alone,-0.016655884948994858,0.9012403058929774,False,58
california,pct_nhpi_alone,-0.23094486808675588,0.08112417320564333,False,58
california,pct_someother_alone,-0.09742247671090025,0.46690165020476787,False,58
california,pct_twoormore,0.003404704477008298,0.9797637760152271,False,58
california,pct_hispanic,-0.09712479432810263,0.4682705364649932,False,58
california,hs_grad_or_higher,-0.2117526066727352,0.11055403970760558,False,58
california,bachelors_or_higher,-0.249056725052782,0.059389862077693034,False,58
california,unemployment_rate,0.18751901275615213,0.15867171765944077,False,58
california,pct_below_poverty_level,0.03378932161417885,0.8011941988146838,False,58
florida,median_age,-0.2782934351815659,0.025970331680261062,True,64
florida,median_household_income,0.2947419652535294,0.018066845511879957,True,64
florida,median_home_value,0.28827229515670305,0.02088817290560187,True,64
florida,pct_white_alone,-0.17213763876453628,0.1737866035134391,False,64
florida,pct_black_alone,0.17355079614924498,0.17022696154403372,False,64
florida,pct_asian_alone,0.38234545102617384,0.001821658466181934,True,64
florida,pct_aian_alone,0.2616581541704362,0.036748571542621636,True,64
florida,pct_nhpi_alone,-0.2644442202121054,0.03472016765658386,True,64
florida,pct_someother_alone,-0.39459027878923836,0.0012531029813731705,True,64
florida,pct_twoormore,0.1743373583130544,0.16826890981295906,False,64
florida,pct_hispanic,-0.23803299382321974,0.05821770556715841,False,64
florida,hs_grad_or_higher,0.41612927414792766,0.0006263398370079343,True,64
florida,bachelors_or_higher,0.3233652537461537,0.009150851909669121,True,64
florida,unemployment_rate,-0.12964017628791566,0.30725582367372817,False,64
florida,pct_below_poverty_level,-0.21628511828089175,0.08605938536221586,False,64
florida,registered_republican,0.7292539530521612,8.286567053356113e-12,True,64
florida,registered_democrat,0.7187986507210011,2.2530051938433964e-11,True,64
