,median_age,median_household_income,median_home_value,pct_white_alone,pct_black_alone,pct_asian_alone,pct_aian_alone,pct_nhpi_alone,pct_someother_alone,pct_twoormore,pct_hispanic,hs_grad_or_higher,bachelors_or_higher,unemployment_rate,pct_below_poverty_level
count,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
mean,40.37241379310345,87001.13793103448,569022.4137931034,27.358620689655176,0.49137931034482757,4.163793103448276,0.14310344827586205,67.82931034482759,50.72586206896552,2.810344827586207,4.575862068965517,29.867241379310343,86.08275862068965,6.796551724137932,12.851724137931033
std,6.2385556443399395,25546.764494177973,308665.1993313822,18.352742846614245,0.272277259849395,2.099682371623382,0.11564019965986945,18.393219656726576,19.935963802950965,2.7588256880878648,3.902105160345585,12.362384768675664,6.764409906215792,2.1513737363410446,3.7903034817766956
min,31.8,53498.0,212000.0,2.6,0.0,1.2,0.0,14.4,9.4,0.0,1.8,13.2,71.8,2.0,6.5
25%,35.75,67888.5,340600.0,10.925,0.325,2.725,0.1,53.275,31.549999999999997,0.9500000000000001,2.625,20.275,81.05,5.35,10.425
50%,39.5,80701.5,453950.0,22.75,0.5,3.8,0.1,72.9,49.0,1.7,3.3,25.0,88.4,6.300000000000001,12.6
75%,43.625,102701.25,747550.0,41.125,0.7,4.875,0.2,84.4,66.6,3.35,5.074999999999999,38.724999999999994,91.07499999999999,7.775,15.375
max,56.0,159674.0,1494500.0,82.7,1.2,11.9,0.4,94.1,88.8,12.6,28.1,60.5,96.3,12.6,20.3
