variable,pearson_r,pearson_p,spearman_r,spearman_p,significant
Median_Age,-0.020613662287376027,0.8779347703997558,0.05777964991629476,0.6666007899694948,False
Median_Household_Income,-0.13034837719116085,0.32942991703422814,-0.16700947078805925,0.2101909126074754,False
Median_Home_Value,-0.17026042297857089,0.20132305696596706,-0.17398931037044185,0.19148230615411907,False
Pct_White_Alone,0.25227280237563593,0.05607466364581437,0.16445684997919344,0.21734404569888915,False
Pct_Black_Alone,-0.2301473229866654,0.08220916193267841,-0.2575425197082024,0.05096786213080993,False
Pct_Asian_Alone,-0.1493982154912875,0.26300769672624136,-0.10263062233935184,0.44330484906192386,False
Pct_AIAN_Alone,-0.016655884948994858,0.9012403058929774,-0.0741752066096923,0.5800117374336945,False
Pct_NHPI_Alone,-0.23094486808675588,0.08112417320564333,-0.11653744106189219,0.38365800304988346,False
Pct_SomeOther_Alone,-0.09742247671090025,0.46690165020476787,-0.00970055588406858,0.9423864956012811,False
Pct_TwoOrMore,0.003404704477008298,0.9797637760152271,0.05595298575544733,0.6765495919073578,False
Pct_Hispanic,-0.09712479432810263,0.4682705364649932,0.06784876133378595,0.6128171953585596,False
HS_Grad_or_Higher,-0.2117526066727352,0.11055403970760558,-0.20052612597564745,0.13122375962203053,False
Bachelors_or_Higher,-0.249056725052782,0.059389862077693034,-0.19962863573804202,0.1329941587990796,False
Unemployment_Rate,0.18751901275615213,0.15867171765944077,0.23470139408834287,0.07616499130019577,False
Pct_Below_Poverty_Level,0.03378932161417885,0.8011941988146838,0.023982413765622036,0.8581777291460689,False
