GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,County_clean,County_y,Highway_Count
55111,"Sauk County, Wisconsin",41.3,77648,242400,4.0,0.7,1.6,0.0,93.6,87.0,0.9,1.6,26.5,93.4,2.6,8.8,SAUK COUNTY,,0.0
55113,"Sawyer County, Wisconsin",52.2,59055,223300,1.5,0.2,0.5,0.2,97.6,77.1,0.6,18.5,27.2,92.9,5.5,15.0,SAWYER COUNTY,,0.0
55115,"Shawano County, Wisconsin",45.5,67032,179100,1.5,0.6,0.3,0.6,96.9,85.4,0.6,10.0,18.7,92.9,3.3,11.0,SHAWANO COUNTY,,0.0
55117,"Sheboygan County, Wisconsin",41.8,71898,218400,5.7,0.8,1.0,0.0,92.5,81.6,2.0,1.0,27.3,93.5,2.4,8.1,SHEBOYGAN COUNTY,SHEBOYGAN COUNTY,1.0
55109,"St. Croix County, Wisconsin",39.8,102482,349700,2.0,0.1,0.8,0.1,97.1,91.8,0.7,0.9,39.4,96.3,2.0,6.6,ST. CROIX COUNTY,,0.0
55119,"Taylor County, Wisconsin",44.1,63142,186500,2.2,0.1,0.6,0.0,97.2,94.3,0.3,0.8,16.7,90.2,2.8,9.3,TAYLOR COUNTY,,0.0
55121,"Trempealeau County, Wisconsin",39.8,71295,203300,11.0,0.5,1.3,0.0,87.3,84.4,0.5,1.2,20.2,91.6,2.2,8.5,TREMPEALEAU COUNTY,,0.0
55123,"Vernon County, Wisconsin",41.5,69556,210600,0.7,0.2,0.4,0.3,98.3,94.6,0.3,0.6,24.8,90.5,2.9,14.5,VERNON COUNTY,,0.0
55125,"Vilas County, Wisconsin",55.5,67132,270700,1.3,0.4,0.4,0.2,97.7,85.2,0.3,10.6,30.5,96.1,4.1,10.9,VILAS COUNTY,,0.0
55127,"Walworth County, Wisconsin",41.1,77359,275900,9.8,0.5,1.3,0.3,88.1,83.6,0.8,1.0,32.3,92.5,3.4,9.7,WALWORTH COUNTY,,0.0
55129,"Washburn County, Wisconsin",52.4,61270,207900,1.4,0.3,0.3,0.0,98.0,92.8,0.2,2.6,23.6,93.7,3.9,11.7,WASHBURN COUNTY,,0.0
55131,"Washington County, Wisconsin",43.5,95851,316200,2.2,0.7,0.7,0.1,96.3,90.8,1.5,1.0,34.8,95.6,2.7,5.3,WASHINGTON COUNTY,,0.0
55133,"Waukesha County, Wisconsin",43.3,104100,373600,3.5,0.7,1.2,0.2,94.4,85.7,1.5,0.8,47.9,97.1,2.6,5.2,WAUKESHA COUNTY,,0.0
55135,"Waupaca County, Wisconsin",45.4,71189,192800,3.1,0.2,0.3,0.1,96.2,92.7,0.7,1.2,20.2,92.0,3.2,10.1,WAUPACA COUNTY,,0.0
55137,"Waushara County, Wisconsin",49.9,64968,186000,5.7,0.5,0.6,0.1,93.1,87.9,1.8,1.9,17.4,90.1,4.2,11.1,WAUSHARA COUNTY,,0.0
55139,"Winnebago County, Wisconsin",38.4,72873,208600,3.3,1.0,0.6,0.0,95.1,85.8,2.5,1.6,31.0,94.5,2.2,10.9,WINNEBAGO COUNTY,,0.0
55141,"Wood County, Wisconsin",43.9,66417,168100,2.5,0.2,0.7,0.1,96.5,90.9,0.7,1.2,21.4,93.5,4.3,10.3,WOOD COUNTY,,0.0
