variable,pearson_r,pearson_p,spearman_r,spearman_p,significant
Median_Age,0.017020371678588192,0.8713607392760833,-0.02578690978111926,0.806179698814371,False
Median_Household_Income,0.30560963668609886,0.0028923798386254283,0.3240150027558721,0.001532996421662175,True
Median_Home_Value,0.268554891196396,0.009245955985918358,0.2654592328114348,0.010120381481134052,True
Pct_White_Alone,-0.025413399813499236,0.808933292060969,0.058368075628548774,0.5783867868634831,False
Pct_Black_Alone,-0.13715634565049592,0.18985635589266062,-0.13123686223964912,0.20987225529512993,False
Pct_Asian_Alone,-0.08152652762378577,0.43723281921514634,-0.046825148782957335,0.6558120142893641,False
Pct_AIAN_Alone,-0.10072647250718676,0.3367133656912185,-0.14620024697647874,0.16200448337936751,False
Pct_NHPI_Alone,0.05597742578960594,0.5940724134921037,-0.06258548791432424,0.5511923237884595,False
Pct_SomeOther_Alone,0.10510579908009031,0.3160174717506869,0.08251749555022019,0.4316626449824164,False
Pct_TwoOrMore,-0.13340786323149623,0.20236381558304828,-0.25250540952655826,0.014612283232449005,True
Pct_Hispanic,-0.0730752063965155,0.48635854681933105,-0.14267495394434906,0.17247648714453928,False
HS_Grad_or_Higher,0.1910578796862921,0.066577635075442,0.19150146234011117,0.0659366011381524,False
Bachelors_or_Higher,0.06981397629530979,0.5060709759390167,0.036601917195799354,0.7276006599151846,False
Unemployment_Rate,-0.024104683590251166,0.8185995817746681,0.0028003284901241474,0.9787467119350441,False
Pct_Below_Poverty_Level,-0.2613641686330286,0.01138785733622143,-0.27983437874849276,0.006595074768434238,True
