GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48415,"Scurry County, Texas",36.4,62689,110800,38.9,0.3,3.3,0.0,57.4,49.6,2.7,3.6,17.9,85.2,2.1,9.8,48,415,scurry,,0.0
48417,"Shackelford County, Texas",43.9,64659,176900,12.1,0.0,0.6,0.0,87.3,82.5,1.2,2.3,34.6,92.4,6.1,11.6,48,417,shackelford,shackelford,2.0
48419,"Shelby County, Texas",40.0,50436,111700,18.9,0.0,0.8,0.0,80.4,60.0,15.6,4.2,13.7,82.5,4.1,23.5,48,419,shelby,shelby,2.0
48421,"Sherman County, Texas",36.5,74167,125500,43.1,0.0,4.1,0.0,52.8,50.2,0.2,0.2,25.6,78.0,3.2,6.3,48,421,sherman,,0.0
48423,"Smith County, Texas",37.4,71923,220800,18.5,0.2,1.9,0.0,79.4,58.0,16.6,1.2,27.7,88.0,4.1,12.2,48,423,smith,,0.0
48425,"Somervell County, Texas",44.0,83382,253600,17.3,0.2,0.5,0.0,81.9,77.1,1.9,4.0,25.0,91.3,4.0,6.5,48,425,somervell,somervell,1.0
48427,"Starr County, Texas",29.1,38182,93300,92.4,0.0,4.8,0.0,2.7,2.2,0.2,0.3,13.3,60.1,10.8,33.5,48,427,starr,,0.0
48429,"Stephens County, Texas",41.6,54695,105700,23.2,0.0,1.6,0.0,75.1,68.8,3.1,2.8,18.2,83.3,5.9,13.5,48,429,stephens,,0.0
48431,"Sterling County, Texas",31.4,78750,143200,31.2,0.0,0.4,0.5,67.8,67.1,0.1,0.1,24.5,87.9,2.3,2.7,48,431,sterling,,0.0
48433,"Stonewall County, Texas",46.5,61250,54700,22.7,0.0,0.0,0.0,77.3,75.4,0.6,0.0,14.1,84.5,2.8,8.7,48,433,stonewall,,0.0
48435,"Sutton County, Texas",34.9,75000,140600,61.6,0.0,0.6,3.1,34.6,32.2,0.1,1.2,15.5,80.7,4.5,11.6,48,435,sutton,,0.0
48437,"Swisher County, Texas",36.5,39031,89200,40.8,0.0,4.2,0.7,54.2,41.0,7.8,1.6,20.1,80.3,4.3,29.5,48,437,swisher,,0.0
48439,"Tarrant County, Texas",35.1,81905,294100,24.0,1.3,4.2,0.4,70.1,43.2,17.2,1.8,34.5,87.1,4.7,10.9,48,439,tarrant,tarrant,11.0
48441,"Taylor County, Texas",33.0,66406,190300,21.2,0.5,2.8,0.2,75.2,61.8,7.7,1.7,29.0,90.6,2.3,13.5,48,441,taylor,taylor,2.0
48443,"Terrell County, Texas",60.9,46989,152200,35.5,0.0,7.3,0.0,57.2,57.2,0.0,3.5,32.3,94.0,0.0,8.2,48,443,terrell,terrell,6.0
48445,"Terry County, Texas",35.7,45905,111200,47.1,0.1,9.1,0.0,43.8,38.3,3.9,1.1,11.0,77.7,3.8,21.8,48,445,terry,,0.0
48447,"Throckmorton County, Texas",42.7,58864,84200,4.7,0.0,3.1,0.0,92.2,89.9,0.0,0.9,25.0,92.7,2.7,14.0,48,447,throckmorton,,0.0
48449,"Titus County, Texas",34.7,59220,157900,40.6,0.3,3.5,0.1,55.6,43.1,9.5,2.2,15.4,77.1,3.6,17.3,48,449,titus,titus,4.0
