County,highway_count
"Hudspeth County, Texas",20.0
"Webb County, Texas",18.0
"Gillespie County, Texas",18.0
"Harris County, Texas",17.0
"Tom Green County, Texas",15.0
"Bexar County, Texas",15.0
"Ellis County, Texas",14.0
"Nacogdoches County, Texas",14.0
"Kenedy County, Texas",14.0
"Milam County, Texas",14.0
