GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean,County_y,highway_count
31083,"Harlan County, Nebraska",47.1,70536,147200,1.8,0.0,0.6,0.0,97.7,93.6,0.2,0.7,24.2,92.5,1.6,7.2,Harlan County,,0.0
31085,"Hayes County, Nebraska",48.7,60313,112800,4.6,0.0,1.9,0.0,93.6,92.4,0.0,0.6,15.9,94.7,0.3,12.3,Hayes County,,0.0
31087,"Hitchcock County, Nebraska",44.7,52016,88800,2.5,0.0,0.3,1.2,96.1,92.6,0.1,2.1,19.8,93.2,2.1,11.6,Hitchcock County,,0.0
31089,"Holt County, Nebraska",41.8,67225,152000,4.9,0.0,0.6,0.0,94.5,91.6,0.3,0.7,27.0,93.0,1.4,10.8,Holt County,,0.0
31091,"Hooker County, Nebraska",44.8,45854,85400,0.0,0.0,0.0,0.0,100.0,87.1,1.8,1.1,20.7,93.7,3.9,7.7,Hooker County,,0.0
31093,"Howard County, Nebraska",42.3,74508,205200,2.0,0.0,1.0,0.0,97.0,91.8,0.5,0.7,23.0,95.2,3.4,5.4,Howard County,,0.0
31095,"Jefferson County, Nebraska",44.7,60568,117600,3.7,0.0,1.4,0.2,94.7,91.1,0.6,1.2,19.7,93.1,1.1,9.9,Jefferson County,,0.0
31097,"Johnson County, Nebraska",40.1,59457,131500,8.4,0.9,2.4,0.0,88.3,78.1,4.7,2.7,19.0,88.4,2.0,6.8,Johnson County,,0.0
31099,"Kearney County, Nebraska",40.3,79167,218300,6.1,0.0,0.4,0.0,93.5,91.3,0.0,0.6,32.9,94.0,1.4,6.7,Kearney County,Kearney County,2.0
31101,"Keith County, Nebraska",49.0,58132,157000,7.3,0.0,1.6,0.0,91.0,86.1,1.3,1.3,21.3,90.8,2.0,10.7,Keith County,,0.0
31103,"Keya Paha County, Nebraska",49.0,60313,108800,3.6,0.0,0.0,0.0,96.4,93.8,0.1,0.0,25.7,96.8,1.4,10.4,Keya Paha County,,0.0
31105,"Kimball County, Nebraska",48.5,59438,109900,8.5,0.0,1.3,0.1,90.1,83.7,1.3,5.3,14.3,89.2,0.2,11.1,Kimball County,,0.0
31107,"Knox County, Nebraska",44.5,64821,116900,2.2,0.1,0.5,0.0,97.2,84.9,0.6,10.5,19.7,92.7,3.9,13.2,Knox County,,0.0
31109,"Lancaster County, Nebraska",34.3,72625,258900,5.3,0.4,2.3,0.2,91.8,78.7,3.7,1.9,41.1,93.5,3.2,11.7,Lancaster County,,0.0
31111,"Lincoln County, Nebraska",42.4,64342,183100,7.7,0.2,1.2,0.0,90.9,86.7,0.8,1.7,20.4,93.4,3.1,12.8,Lincoln County,,0.0
31113,"Logan County, Nebraska",44.8,71650,160000,1.4,0.0,0.0,0.0,98.6,89.5,1.6,4.2,26.7,98.2,0.7,8.2,Logan County,,0.0
31115,"Loup County, Nebraska",47.1,60156,120700,7.1,0.0,2.3,0.0,90.6,86.2,0.0,0.9,26.0,100.0,0.0,8.2,Loup County,,0.0
31119,"Madison County, Nebraska",37.1,64637,196000,12.5,0.2,2.1,1.2,84.1,78.2,0.9,3.1,23.5,92.2,2.5,11.8,Madison County,,0.0
31117,"McPherson County, Nebraska",46.6,61316,124200,0.0,0.0,0.0,0.0,100.0,99.4,0.0,0.4,24.4,96.4,0.0,7.1,McPherson County,,0.0
31121,"Merrick County, Nebraska",42.8,62849,168000,3.6,0.3,1.3,0.2,94.6,91.1,0.0,1.7,17.6,92.4,0.6,8.7,Merrick County,,0.0
31123,"Morrill County, Nebraska",41.3,59773,112000,14.1,0.0,0.4,0.0,85.5,81.3,0.1,3.1,21.8,90.9,4.1,12.4,Morrill County,,0.0
31125,"Nance County, Nebraska",43.6,65438,122800,1.5,0.4,0.4,0.0,97.7,94.6,0.3,2.0,18.4,92.6,3.0,16.1,Nance County,,0.0
31127,"Nemaha County, Nebraska",39.0,60132,125100,2.0,0.1,0.7,0.3,96.9,89.7,1.1,1.9,29.2,89.4,6.3,13.0,Nemaha County,,0.0
31129,"Nuckolls County, Nebraska",50.5,70201,90900,3.1,0.1,0.2,0.0,96.6,92.6,0.2,3.2,26.6,92.1,1.0,7.4,Nuckolls County,,0.0
31131,"Otoe County, Nebraska",41.8,81430,185000,2.9,0.0,5.3,0.0,91.7,86.5,0.8,1.2,27.2,93.5,2.8,9.5,Otoe County,,0.0
31133,"Pawnee County, Nebraska",47.1,54926,74800,1.9,0.0,0.0,0.0,98.1,94.0,0.2,2.6,20.4,87.9,1.7,14.1,Pawnee County,,0.0
31135,"Perkins County, Nebraska",41.0,67500,149200,3.9,0.0,1.1,0.1,94.9,91.0,0.0,1.0,25.7,92.7,1.6,7.7,Perkins County,,0.0
31137,"Phelps County, Nebraska",40.7,65988,173300,5.8,0.0,0.6,0.0,93.5,90.1,0.8,1.1,26.7,92.1,1.2,13.6,Phelps County,,0.0
31139,"Pierce County, Nebraska",39.7,75938,182700,1.7,0.1,0.5,0.2,97.5,94.5,0.4,1.2,22.9,94.4,2.2,8.0,Pierce County,,0.0
31141,"Platte County, Nebraska",38.4,72335,207800,12.3,0.5,7.5,1.9,77.8,74.3,0.8,1.0,24.1,89.8,2.6,8.7,Platte County,,0.0
31143,"Polk County, Nebraska",43.7,71771,177800,4.3,0.1,1.2,0.2,94.2,91.0,0.1,2.4,18.6,93.3,1.5,6.2,Polk County,,0.0
31145,"Red Willow County, Nebraska",41.2,60000,143500,4.4,0.1,1.7,0.0,93.8,90.1,0.8,1.8,26.0,95.3,1.5,14.1,Red Willow County,,0.0
31147,"Richardson County, Nebraska",45.9,55578,96500,1.1,0.0,1.1,0.0,97.8,90.9,0.2,6.4,22.4,91.7,4.5,10.6,Richardson County,,0.0
31149,"Rock County, Nebraska",45.2,57500,124400,0.1,0.0,0.4,0.0,99.6,98.4,0.1,0.6,29.0,94.3,1.2,10.5,Rock County,,0.0
31151,"Saline County, Nebraska",37.4,77027,180700,17.7,0.2,10.0,0.9,71.3,65.7,0.5,1.0,20.1,79.8,2.7,9.5,Saline County,,0.0
31153,"Sarpy County, Nebraska",35.5,101402,287600,7.8,0.6,2.5,0.2,88.9,77.6,4.0,1.7,41.9,95.7,2.4,5.2,Sarpy County,,0.0
31155,"Saunders County, Nebraska",40.4,89395,241100,1.9,0.0,0.7,0.1,97.3,93.0,0.7,0.9,30.3,96.1,2.1,6.4,Saunders County,,0.0
31157,"Scotts Bluff County, Nebraska",39.8,60960,161400,21.5,0.3,1.7,0.0,76.6,71.6,0.6,3.5,25.9,89.5,3.4,13.9,Scotts Bluff County,,0.0
31159,"Seward County, Nebraska",37.6,81122,232400,1.8,0.3,0.2,0.5,97.2,94.0,0.7,0.9,31.6,94.9,1.9,6.9,Seward County,,0.0
31161,"Sheridan County, Nebraska",46.6,56900,102900,3.6,0.4,0.7,0.5,94.9,81.2,0.4,13.1,21.7,90.0,1.3,10.7,Sheridan County,,0.0
31163,"Sherman County, Nebraska",47.9,61935,135000,1.2,0.4,1.0,0.0,97.4,92.7,0.6,0.9,18.8,91.3,4.6,9.5,Sherman County,,0.0
31165,"Sioux County, Nebraska",41.5,54076,141700,0.8,0.0,0.3,2.8,96.2,94.0,0.3,0.8,25.1,95.4,4.1,11.4,Sioux County,,0.0
31167,"Stanton County, Nebraska",42.0,78275,184300,6.2,0.3,0.2,0.0,93.4,89.7,0.2,2.4,22.3,95.2,0.4,7.1,Stanton County,,0.0
31169,"Thayer County, Nebraska",46.2,63095,106200,2.7,0.0,0.4,0.0,96.9,93.4,0.1,2.1,23.0,94.4,3.0,9.0,Thayer County,,0.0
31171,"Thomas County, Nebraska",45.1,72708,113000,4.0,0.0,0.0,0.0,96.0,88.2,1.3,6.5,26.9,93.1,1.1,4.8,Thomas County,,0.0
31173,"Thurston County, Nebraska",28.7,64838,105100,3.2,0.3,0.5,0.4,95.6,36.4,0.2,58.3,20.2,92.4,10.3,18.0,Thurston County,,0.0
31175,"Valley County, Nebraska",45.4,58902,122200,1.3,0.4,0.9,0.0,97.4,95.7,0.0,1.6,27.6,94.4,0.4,9.3,Valley County,,0.0
31177,"Washington County, Nebraska",42.6,90188,278300,2.4,0.0,0.7,0.0,96.8,93.3,0.2,1.4,36.5,95.9,1.9,6.9,Washington County,,0.0
31179,"Wayne County, Nebraska",31.6,67687,203700,6.8,0.2,3.1,0.1,89.9,85.6,1.0,2.3,29.4,95.1,3.4,13.2,Wayne County,,0.0
31181,"Webster County, Nebraska",44.6,65197,102000,4.2,0.3,0.6,0.4,94.5,89.2,0.1,3.1,21.9,93.9,0.7,9.9,Webster County,,0.0
31183,"Wheeler County, Nebraska",59.9,55893,135900,1.0,0.0,0.8,0.1,98.1,96.8,0.0,0.0,29.6,97.8,1.7,5.2,Wheeler County,,0.0
31185,"York County, Nebraska",39.0,74058,175900,3.5,0.9,1.5,0.1,94.0,88.5,1.2,1.6,23.9,91.7,2.1,9.0,York County,,0.0
