Variable,Pearson_r,p_value,Significant
Median_Age,-0.16431890209074534,0.16780671879511738,False
Median_Household_Income,-0.11126428316210164,0.3521231995127109,False
Median_Home_Value,-0.0589628380300423,0.6227275383652442,False
Pct_White_Alone,0.2660164753920271,0.02390936816436746,True
Pct_Black_Alone,0.5724060838865792,1.494114284234e-07,True
Pct_Asian_Alone,0.2182635729812123,0.06549125012000964,False
Pct_Hispanic,-0.06519083890213179,0.5863996778827388,False
HS_Grad_or_Higher,0.0962917532745584,0.4210303118667869,False
Bachelors_or_Higher,-0.09732004924519379,0.41606409938763106,False
Unemployment_Rate,0.0008590779344750369,0.994285647668638,False
Pct_Below_Poverty_Level,0.2081966949383303,0.07926345928402496,False
