GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean
22079,"Rapides Parish, Louisiana",37.8,55946,179100,2.4,0.3,1.2,0.2,96.0,59.7,31.0,1.9,22.4,87.4,4.9,18.9,Rapides Parish
22081,"Red River Parish, Louisiana",40.4,44539,103200,1.5,0.0,0.2,0.0,98.2,55.6,40.2,0.7,11.2,81.2,3.2,29.4,Red River Parish
22083,"Richland Parish, Louisiana",39.8,52960,124500,1.0,0.3,0.7,0.1,97.8,60.2,36.0,0.8,18.1,79.5,8.4,23.5,Richland Parish
22085,"Sabine Parish, Louisiana",41.3,52047,129400,1.4,0.1,1.7,0.2,96.6,66.7,14.3,12.7,14.5,85.7,6.5,22.7,Sabine Parish
22087,"St. Bernard Parish, Louisiana",35.8,57638,192100,1.4,0.4,11.1,0.6,86.4,56.7,23.5,2.4,17.2,81.3,7.4,22.6,St. Bernard Parish
22089,"St. Charles Parish, Louisiana",39.1,82172,256800,2.1,0.2,5.3,0.4,92.0,62.8,22.8,2.7,27.2,89.1,6.3,9.8,St. Charles Parish
22091,"St. Helena Parish, Louisiana",42.4,50193,106400,0.3,0.0,1.9,0.0,97.7,44.4,50.2,1.9,11.7,81.1,21.3,30.0,St. Helena Parish
22093,"St. James Parish, Louisiana",40.8,64536,197800,1.0,0.0,0.4,0.5,98.1,49.1,48.4,0.5,20.2,88.6,5.4,10.5,St. James Parish
22095,"St. John the Baptist Parish, Louisiana",38.5,67418,184000,1.1,1.2,5.2,0.9,91.7,30.3,55.9,0.9,18.7,86.7,9.0,12.6,St. John the Baptist Parish
22097,"St. Landry Parish, Louisiana",37.5,45637,142900,1.1,0.0,1.7,0.0,97.2,53.1,39.9,1.1,14.3,80.6,5.6,24.0,St. Landry Parish
22099,"St. Martin Parish, Louisiana",39.7,53394,151000,1.7,0.1,1.6,0.1,96.6,63.7,28.6,1.3,15.3,82.9,5.1,16.6,St. Martin Parish
22101,"St. Mary Parish, Louisiana",39.7,51768,128000,4.3,0.3,4.7,0.1,90.6,53.9,28.9,2.8,13.1,80.6,5.4,22.1,St. Mary Parish
22103,"St. Tammany Parish, Louisiana",40.4,79277,272200,2.0,0.5,5.1,0.2,92.1,73.3,12.0,2.0,36.6,91.4,4.8,12.2,St. Tammany Parish
22105,"Tangipahoa Parish, Louisiana",35.7,57256,204600,2.2,0.2,2.8,0.3,94.4,60.9,29.6,0.9,22.2,83.9,5.3,19.4,Tangipahoa Parish
22107,"Tensas Parish, Louisiana",47.4,36074,80300,2.4,0.0,0.4,0.0,97.2,41.4,53.3,0.5,13.1,80.9,13.3,32.8,Tensas Parish
22109,"Terrebonne Parish, Louisiana",37.3,64819,189100,3.2,0.7,2.9,0.0,93.1,64.2,19.0,7.8,17.7,83.3,4.7,16.5,Terrebonne Parish
22111,"Union Parish, Louisiana",43.5,45743,115400,3.4,0.1,2.0,0.1,94.4,69.1,23.6,0.9,16.0,86.4,5.8,28.6,Union Parish
22113,"Vermilion Parish, Louisiana",39.4,57537,159700,1.6,0.0,2.4,0.2,95.8,76.8,13.0,0.7,16.8,84.1,5.2,19.2,Vermilion Parish
22115,"Vernon Parish, Louisiana",32.1,58281,143500,4.9,2.1,2.0,0.2,90.8,70.1,13.0,2.3,19.1,87.6,6.2,18.3,Vernon Parish
22117,"Washington Parish, Louisiana",41.0,42776,139400,0.9,1.0,1.3,0.0,96.8,63.6,29.7,1.1,12.7,84.1,10.8,24.2,Washington Parish
22119,"Webster Parish, Louisiana",41.2,37396,105600,1.7,0.2,0.2,0.0,97.8,61.7,33.3,1.0,12.8,86.2,5.4,26.9,Webster Parish
22121,"West Baton Rouge Parish, Louisiana",36.6,87320,225900,2.5,0.1,1.8,0.0,95.5,53.0,40.4,0.7,23.1,89.4,6.6,16.0,West Baton Rouge Parish
22123,"West Carroll Parish, Louisiana",41.4,48514,97600,2.7,0.0,0.8,0.1,96.4,79.7,15.4,0.4,14.1,83.7,3.8,15.7,West Carroll Parish
22125,"West Feliciana Parish, Louisiana",42.2,74277,263200,0.0,0.2,1.0,0.2,98.6,50.4,45.4,1.7,22.6,84.6,6.0,11.6,West Feliciana Parish
22127,"Winn Parish, Louisiana",41.6,46368,102600,1.6,0.0,4.3,1.4,92.8,61.2,28.5,1.2,16.1,84.4,4.3,22.0,Winn Parish
